Problem Name,Link to Problem,Description
Two Sum,https://leetcode.com/problems/two-sum,Find two numbers that add up to a target.
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Find max profit from buying and selling one stock.
Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Find the contiguous subarray with the largest sum.
Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove duplicates in-place from sorted array.
Contains Duplicate,https://leetcode.com/problems/contains-duplicate,Check if any value appears at least twice.
Valid Anagram,https://leetcode.com/problems/valid-anagram,Check if two strings are anagrams.
Valid Palindrome,https://leetcode.com/problems/valid-palindrome,Check if a string is a palindrome.
First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,Return the index of the first non-repeating character.
Ransom Note,https://leetcode.com/problems/ransom-note,Check if ransom note can be constructed from magazine.
Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately,Merge two strings by alternating characters.
Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Reverse a singly linked list.
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Merge two sorted linked lists.
Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,Check if a linked list is a palindrome.
Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Detect if a linked list has a cycle.
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Find the middle node of a linked list.
Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,Return intersection of two arrays.
Happy Number,https://leetcode.com/problems/happy-number,Determine if a number is a happy number.
Single Number,https://leetcode.com/problems/single-number,Find the number that appears only once.
Majority Element,https://leetcode.com/problems/majority-element,Find the majority element.
Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,Check if two strings are isomorphic.
Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Check if parentheses are valid.
Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks,Use stacks to implement a queue.
Min Stack,https://leetcode.com/problems/min-stack,"Design a stack that supports push, pop, top, and retrieving the min element."
Baseball Game,https://leetcode.com/problems/baseball-game,Simulate baseball game score keeping.
Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,Compare two strings with backspace characters.
Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Count distinct ways to climb stairs.
Fizz Buzz,https://leetcode.com/problems/fizz-buzz,Return string representation of numbers with FizzBuzz logic.
Power of Three,https://leetcode.com/problems/power-of-three,Check if a number is a power of three.
HackerRank - Simple Array Sum,https://www.hackerrank.com/challenges/simple-array-sum/problem,Calculate sum of elements in an array.
HackerRank - Compare the Triplets,https://www.hackerrank.com/challenges/compare-the-triplets/problem,Compare ratings of two people and assign points.